SUBZONE_N,ServiceNo
MARINA SOUTH,400
MARINA SOUTH,402
PEARL'S HILL,121
PEARL'S HILL,122
PEARL'S HILL,175
PEARL'S HILL,33
PEARL'S HILL,63
PEARL'S HILL,75
PEARL'S HILL,851
PEARL'S HILL,970
PEARL'S HILL,123
PEARL'S HILL,16
PEARL'S HILL,195
PEARL'S HILL,5
PEARL'S HILL,564
PEARL'S HILL,NR5
PEARL'S HILL,186
PEARL'S HILL,51
PEARL'S HILL,64
PEARL'S HILL,124
PEARL'S HILL,145
PEARL'S HILL,147
PEARL'S HILL,166
PEARL'S HILL,190
PEARL'S HILL,54
PEARL'S HILL,143
PEARL'S HILL,174
PEARL'S HILL,174e
BOAT QUAY,12
BOAT QUAY,147
BOAT QUAY,190
BOAT QUAY,2
BOAT QUAY,33
BOAT QUAY,54
BOAT QUAY,CT28
BOAT QUAY,124
BOAT QUAY,145
BOAT QUAY,166
BOAT QUAY,174
BOAT QUAY,174e
BOAT QUAY,197
BOAT QUAY,1N
BOAT QUAY,2N
BOAT QUAY,3N
BOAT QUAY,4N
BOAT QUAY,51
BOAT QUAY,5N
BOAT QUAY,61
BOAT QUAY,63
BOAT QUAY,6N
BOAT QUAY,80
BOAT QUAY,851
BOAT QUAY,961
BOAT QUAY,961C
BOAT QUAY,NR1
BOAT QUAY,NR2
BOAT QUAY,NR3
BOAT QUAY,NR5
BOAT QUAY,NR6
BOAT QUAY,NR7
BOAT QUAY,NR8
BOAT QUAY,186
BOAT QUAY,588
BOAT QUAY,599
BOAT QUAY,970
HENDERSON HILL,120
HENDERSON HILL,123
HENDERSON HILL,123M
HENDERSON HILL,14
HENDERSON HILL,195
HENDERSON HILL,5
HENDERSON HILL,65
HENDERSON HILL,132
HENDERSON HILL,145
HENDERSON HILL,32
HENDERSON HILL,33
HENDERSON HILL,63
HENDERSON HILL,64
HENDERSON HILL,NR5
HENDERSON HILL,16
HENDERSON HILL,851
HENDERSON HILL,121
HENDERSON HILL,122
HENDERSON HILL,139
HENDERSON HILL,186
HENDERSON HILL,51
HENDERSON HILL,970
HENDERSON HILL,131
HENDERSON HILL,131M
HENDERSON HILL,147
HENDERSON HILL,167
HENDERSON HILL,175
HENDERSON HILL,196
HENDERSON HILL,197
HENDERSON HILL,855
HENDERSON HILL,961
HENDERSON HILL,961C
REDHILL,120
REDHILL,132
REDHILL,145
REDHILL,32
REDHILL,33
REDHILL,63
REDHILL,64
REDHILL,NR5
REDHILL,122
REDHILL,139
REDHILL,186
REDHILL,51
REDHILL,970
REDHILL,14
REDHILL,147
REDHILL,196
REDHILL,197
REDHILL,855
REDHILL,961
REDHILL,961C
ALEXANDRA HILL,100
ALEXANDRA HILL,120
ALEXANDRA HILL,14
ALEXANDRA HILL,195
ALEXANDRA HILL,197
ALEXANDRA HILL,33
ALEXANDRA HILL,51
ALEXANDRA HILL,61
ALEXANDRA HILL,93
ALEXANDRA HILL,111
ALEXANDRA HILL,139
ALEXANDRA HILL,145
ALEXANDRA HILL,186
ALEXANDRA HILL,64
ALEXANDRA HILL,970
ALEXANDRA HILL,NR5
ALEXANDRA HILL,123
ALEXANDRA HILL,147
ALEXANDRA HILL,153
ALEXANDRA HILL,196
ALEXANDRA HILL,198
ALEXANDRA HILL,855
ALEXANDRA HILL,961
ALEXANDRA HILL,961C
ALEXANDRA HILL,63
BUKIT HO SWEE,121
BUKIT HO SWEE,122
BUKIT HO SWEE,14
BUKIT HO SWEE,32
BUKIT HO SWEE,64
BUKIT HO SWEE,65
BUKIT HO SWEE,123
BUKIT HO SWEE,16
BUKIT HO SWEE,175
BUKIT HO SWEE,195
BUKIT HO SWEE,5
BUKIT HO SWEE,75
BUKIT HO SWEE,970
BUKIT HO SWEE,186
BUKIT HO SWEE,51
BUKIT HO SWEE,139
BUKIT HO SWEE,1N
BUKIT HO SWEE,2N
BUKIT HO SWEE,3N
BUKIT HO SWEE,4N
BUKIT HO SWEE,5N
BUKIT HO SWEE,6N
CLARKE QUAY,12
CLARKE QUAY,124
CLARKE QUAY,145
CLARKE QUAY,147
CLARKE QUAY,166
CLARKE QUAY,174
CLARKE QUAY,174e
CLARKE QUAY,190
CLARKE QUAY,197
CLARKE QUAY,1N
CLARKE QUAY,2
CLARKE QUAY,2N
CLARKE QUAY,33
CLARKE QUAY,3N
CLARKE QUAY,4N
CLARKE QUAY,51
CLARKE QUAY,54
CLARKE QUAY,5N
CLARKE QUAY,61
CLARKE QUAY,63
CLARKE QUAY,6N
CLARKE QUAY,80
CLARKE QUAY,851
CLARKE QUAY,961
CLARKE QUAY,961C
CLARKE QUAY,NR1
CLARKE QUAY,NR2
